"","unit","old_unit","Genotype","G..Alias","Replicates"
"234","B-1001:7:1","B-2-7",21,"IP 8426",2
"201","B-1004:4:1","B-2-40",7,"IP 7108",2
"192","B-1005:1:1","B-2-49",15,"IP 12839",4
"124","B-1010:9:1","B-2-117",29,"IP 18412",6
"109","B-1:12:1","B-1-12",26,"ICMB 90111-P6",1
"113","B-1:8:1","B-1-8",30,"IP 9532",1
"112","B-1:9:1","B-1-9",17,"IP 12395",1
"89","B-3:8:1","B-1-32",9,"IP 18090",1
"83","B-4:2:1","B-1-38",38,"IP 7941",1
"23","B-9:2:1","B-1-98",13,"IP 3122",5
"20","B-9:5:1","B-1-101",4,"IP 8767",5
